dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
splice,BALD,67,0.7377272727272728,0.012572516924553386,11
splice,BALD,68,0.7368181818181818,0.01785675324250287,11
splice,BALD,69,0.7395454545454545,0.01935904768506776,11
splice,BALD,70,0.7413636363636363,0.020717252362573234,11
splice,BALD,71,0.7456818181818182,0.020312893352834687,11
splice,BALD,72,0.7425,0.02034084560680799,11
splice,BALD,73,0.7465909090909091,0.020039733258975956,11
splice,BALD,74,0.7504545454545455,0.021846572437632508,11
splice,BALD,75,0.7547727272727273,0.019021518914591962,11
splice,BALD,76,0.7531818181818182,0.022025295375173413,11
splice,BALD,77,0.7552272727272726,0.02265100840620966,11
splice,BALD,78,0.7599999999999999,0.023345235059857493,11
splice,BALD,79,0.7613636363636364,0.01960113633069636,11
splice,BALD,80,0.7620454545454546,0.01876892983823874,11
splice,BALD,81,0.7643181818181819,0.021274718244048207,11
splice,BALD,82,0.7672727272727272,0.015184471733260351,11
splice,BALD,83,0.7693181818181819,0.01654882583036138,11
splice,BALD,84,0.7706818181818181,0.01658654986317637,11
splice,BALD,85,0.7734090909090909,0.015422091592611884,11
splice,BALD,86,0.770909090909091,0.014459976109624401,11
splice,BALD,87,0.7697727272727272,0.018352606948828343,11
splice,BALD,88,0.7729545454545454,0.01903346335464794,11
splice,BALD,89,0.7718181818181818,0.01732378816436055,11
splice,BALD,90,0.7663636363636364,0.019051365973455726,11
splice,BALD,91,0.7720454545454545,0.018967675853217437,11
splice,BALD,92,0.7690909090909092,0.021191765124474873,11
splice,BALD,93,0.7704545454545454,0.02120784588949874,11
splice,BALD,94,0.7704545454545454,0.022187219908603464,11
splice,BALD,95,0.7688636363636363,0.02465673428202822,11
splice,BALD,96,0.7720454545454545,0.02190371491945437,11
